Dataset_Name,n_samples,n_features,Minority_Ratio,Imbalance_Ratio,Categorical_Ratio,Samples_Per_Feature,Missing_Values_Ratio,Avg_Correlation,Linearity_AUC,NonLinear_AUC,Mean_Skewness,Minority_Overlap_Ratio,Minority_Avg_Distance,Best_Method,Final_Score
Clean_haberman.csv,306,3,0.2647,2.78,0.0,102.0,0.0,0.0522,0.7068,0.5844,1.0697,0.5679,17.4661,gan_paper_filtered,0.9363782747987025
Clean_ionosphere.csv,351,33,0.359,1.79,0.0,10.64,0.0,0.2306,0.8276,0.7786,0.6154,0.3254,5.0234,gan_paper_filtered,0.9357463250964894
Clean_Breast_Cancer_Wisconsin.csv,569,30,0.3726,1.68,0.0,18.97,0.0,0.3949,0.992,0.8909,1.7404,0.1415,778.4192,smote,0.8523954085427367
Clean_covid.csv,599,25,0.1352,6.4,0.0,23.96,0.0,0.11,0.8678,0.6652,2.2002,0.5432,7.4735,iqr_gan_from_tutorial,0.8588365967112735
Clean_blood.csv,748,4,0.238,3.2,0.0,187.0,0.0,0.4661,0.8218,0.5592,2.2626,0.5787,1815.3633,gan_paper_filtered,0.9230788805233655
Clean_pimadiabetes.csv,768,8,0.349,1.87,0.0,96.0,0.0,0.175,0.8248,0.6516,1.1807,0.4515,105.4328,gan_paper_filtered,0.9534244932719016
Clean_Titanic-Dataset.csv,891,8,0.3838,1.61,0.0,111.38,0.0,0.1636,0.8457,0.6563,2.1187,0.3713,60.5335,smote_filtered,0.9286842781670298
Clean_heart.csv,918,15,0.4466,1.24,0.0,61.2,0.0,0.1489,0.9123,0.6296,0.9706,0.3951,91.3437,iqr_ctgan,0.8986474905897524
Clean_shuttle_full_dataset.csv,58000,9,0.214,3.67,0.0,6444.44,0.0,0.1886,0.9908,0.9976,7.5672,0.0037,111.2771,smote_filtered,0.962526568808364
Clean_weatherAUS.csv,142193,111,0.2242,3.46,0.0,1281.02,0.0,0.0361,0.8428,0.6762,4.6676,0.4717,51.6541,smotified_gan_filtered,0.8447217346225376
Clean_nsl_kdd_full_dataset.csv,148517,119,0.4812,1.08,0.0,1248.04,0.0,0.0333,0.9256,0.9583,39.7803,0.0074,203939.4707,smotified_gan,0.8617841989641607
Clean_Loan_Default.csv,148670,48,0.2464,3.06,0.0,3097.29,0.0,0.0426,0.5824,0.8322,10.7739,0.214,355536.8299,iqr_smote,0.9987421449552283
Clean_DDos.csv,223112,78,0.4262,1.35,0.0,2860.41,0.0,0.1752,0.9855,0.9939,17.6147,0.0019,68465651.2995,iqr_smote,0.9988792697434201
Clean_Infiltration.csv,252972,78,0.0001,7026.0,0.0,3243.23,0.0,0.1519,0.4577,0.6388,45.186,0.5833,136673340.8561,gan_paper,0.937293439183382
Clean_creditcard.csv,275663,29,0.0017,581.8,0.0,9505.62,0.0,0.011,0.9693,0.8178,2.7438,0.2685,203.5321,gan_paper_filtered,0.8943464556317771
