mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.02227020263671875,0.0,0.0018038749694824219,0.0,0.8,0.05,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8695652173913043,0.8695652173913043,0.0,1,0.9960474308300395,0.9960474308300395,0.0
0.02044820785522461,0.0,0.0012030601501464844,0.0,0.8,0.05,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8695652173913043,0.8695652173913043,0.0,1,0.9960474308300395,0.9960474308300395,0.0
0.022966384887695312,0.0,0.0012481212615966797,0.0,0.8,0.05,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8695652173913043,0.8695652173913043,0.0,1,0.9986859395532195,0.9986859395532195,0.0
0.024541854858398438,0.0,0.001224517822265625,0.0,0.8,0.05,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8695652173913043,0.8695652173913043,0.0,1,0.9986859395532195,0.9986859395532195,0.0
0.009005546569824219,0.0,0.001146078109741211,0.0,0.8,0.2,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8695652173913043,0.8695652173913043,0.0,1,1.0,1.0,0.0
0.010241508483886719,0.0,0.0011577606201171875,0.0,0.9,0.05,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8695652173913043,0.8695652173913043,0.0,1,0.9960474308300395,0.9960474308300395,0.0
0.011842012405395508,0.0,0.001169443130493164,0.0,0.9,0.05,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8695652173913043,0.8695652173913043,0.0,1,0.9960474308300395,0.9960474308300395,0.0
0.012048006057739258,0.0,0.0011870861053466797,0.0,0.9,0.05,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8695652173913043,0.8695652173913043,0.0,1,0.9986859395532195,0.9986859395532195,0.0
0.012019872665405273,0.0,0.0011587142944335938,0.0,0.9,0.05,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8695652173913043,0.8695652173913043,0.0,1,0.9986859395532195,0.9986859395532195,0.0
0.008466482162475586,0.0,0.0011358261108398438,0.0,0.9,0.2,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8695652173913043,0.8695652173913043,0.0,1,1.0,1.0,0.0
0.018975019454956055,0.0,0.0012519359588623047,0.0,0.8,0.1,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8333333333333334,0.8333333333333334,0.0,11,0.9986859395532195,0.9986859395532195,0.0
