mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.011542320251464844,0.0,0.0011150836944580078,0.0,0.8,0.05,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.01114964485168457,0.0,0.0011494159698486328,0.0,0.8,0.05,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.01132965087890625,0.0,0.0011119842529296875,0.0,0.8,0.05,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.009002208709716797,0.0,0.0010800361633300781,0.0,0.8,0.1,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.009157180786132812,0.0,0.0010814666748046875,0.0,0.8,0.1,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.009020566940307617,0.0,0.0010771751403808594,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.0077207088470458984,0.0,0.0012042522430419922,0.0,0.8,0.2,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.0073816776275634766,0.0,0.0011398792266845703,0.0,0.8,0.2,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.007586956024169922,0.0,0.001079559326171875,0.0,0.8,0.2,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.012908220291137695,0.0,0.0010807514190673828,0.0,0.9,0.05,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.012822866439819336,0.0,0.0012700557708740234,0.0,0.9,0.05,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.012223005294799805,0.0,0.0010979175567626953,0.0,0.9,0.05,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.8}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.012368202209472656,0.0,0.0010857582092285156,0.0,0.9,0.05,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.012674570083618164,0.0,0.0010976791381835938,0.0,0.9,0.05,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.012492179870605469,0.0,0.0011796951293945312,0.0,0.9,0.05,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.009947061538696289,0.0,0.0011010169982910156,0.0,0.9,0.1,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.010204553604125977,0.0,0.0010862350463867188,0.0,0.9,0.1,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.010374784469604492,0.0,0.0010821819305419922,0.0,0.9,0.1,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
0.008213520050048828,0.0,0.0010657310485839844,0.0,0.9,0.2,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.6231884057971014,0.6231884057971014,0.0,1,1.0,1.0,0.0
