mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.019966840744018555,0.0,0.0012133121490478516,0.0,0.8,0.2,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9693372898120672,0.9693372898120672,0.0,1,1.0,1.0,0.0
0.02664780616760254,0.0,0.0012819766998291016,0.0,0.9,0.2,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9692765113974232,0.9692765113974232,0.0,2,1.0,1.0,0.0
0.023784399032592773,0.0,0.0012583732604980469,0.0,0.9,0.2,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9683794466403162,0.9683794466403162,0.0,3,1.0,1.0,0.0
0.026435375213623047,0.0,0.001375436782836914,0.0,0.9,0.2,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9683168316831683,0.9683168316831683,0.0,4,1.0,1.0,0.0
0.027359485626220703,0.0,0.0014562606811523438,0.0,0.8,0.2,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9674234945705824,0.9674234945705824,0.0,5,1.0,1.0,0.0
0.020378589630126953,0.0,0.0012288093566894531,0.0,0.9,0.2,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9674234945705824,0.9674234945705824,0.0,5,1.0,1.0,0.0
0.03798413276672363,0.0,0.0013432502746582031,0.0,0.8,0.05,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9673590504451038,0.9673590504451038,0.0,7,0.9952380952380953,0.9952380952380953,0.0
0.030465126037597656,0.0,0.0013010501861572266,0.0,0.8,0.1,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9673590504451038,0.9673590504451038,0.0,7,1.0,1.0,0.0
0.03490328788757324,0.0,0.0017838478088378906,0.0,0.9,0.1,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9673590504451038,0.9673590504451038,0.0,7,0.9956331877729258,0.9956331877729258,0.0
0.03232550621032715,0.0,0.0013446807861328125,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9663366336633663,0.9663366336633663,0.0,10,1.0,1.0,0.0
