mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.014697074890136719,0.0,0.0013153553009033203,0.0,0.9,0.1,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9859154929577465,0.9859154929577465,0.0,1,1.0,1.0,0.0
0.015845775604248047,0.0,0.001184701919555664,0.0,0.9,0.1,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9859154929577465,0.9859154929577465,0.0,1,1.0,1.0,0.0
0.012436866760253906,0.0,0.0013453960418701172,0.0,0.9,0.2,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9859154929577465,0.9859154929577465,0.0,1,1.0,1.0,0.0
0.013614892959594727,0.0,0.0012373924255371094,0.0,0.9,0.2,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9859154929577465,0.9859154929577465,0.0,1,1.0,1.0,0.0
0.012151479721069336,0.0,0.0011756420135498047,0.0,0.9,0.2,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9859154929577465,0.9859154929577465,0.0,1,1.0,1.0,0.0
0.014841794967651367,0.0,0.0012288093566894531,0.0,0.8,0.1,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.015738248825073242,0.0,0.0013713836669921875,0.0,0.8,0.1,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.015104293823242188,0.0,0.00128936767578125,0.0,0.8,0.1,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.013363838195800781,0.0,0.0013546943664550781,0.0,0.8,0.1,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.013960599899291992,0.0,0.001199483871459961,0.0,0.8,0.1,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.01717853546142578,0.0,0.0013773441314697266,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.01318812370300293,0.0,0.001148223876953125,0.0,0.8,0.2,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.012333869934082031,0.0,0.0011570453643798828,0.0,0.8,0.2,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.012830972671508789,0.0,0.0015780925750732422,0.0,0.8,0.2,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.013600587844848633,0.0,0.0011637210845947266,0.0,0.8,0.2,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.014393091201782227,0.0,0.0024864673614501953,0.0,0.8,0.2,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.012727975845336914,0.0,0.0011641979217529297,0.0,0.8,0.2,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.014605522155761719,0.0,0.0012199878692626953,0.0,0.9,0.1,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.01605391502380371,0.0,0.0015437602996826172,0.0,0.9,0.1,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.013981103897094727,0.0,0.0013363361358642578,0.0,0.9,0.1,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.01564168930053711,0.0,0.001184225082397461,0.0,0.9,0.1,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.014083147048950195,0.0,0.0017499923706054688,0.0,0.9,0.2,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.018737077713012695,0.0,0.0014944076538085938,0.0,0.9,0.2,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.01223134994506836,0.0,0.0012400150299072266,0.0,0.9,0.2,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9813084112149533,0.9813084112149533,0.0,6,1.0,1.0,0.0
0.028850555419921875,0.0,0.0017559528350830078,0.0,0.8,0.05,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9767441860465116,0.9767441860465116,0.0,25,0.994328922495274,0.994328922495274,0.0
0.02715015411376953,0.0,0.0012705326080322266,0.0,0.8,0.05,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9767441860465116,0.9767441860465116,0.0,25,0.994328922495274,0.994328922495274,0.0
0.026604890823364258,0.0,0.0013883113861083984,0.0,0.8,0.05,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9767441860465116,0.9767441860465116,0.0,25,0.994328922495274,0.994328922495274,0.0
0.015445470809936523,0.0,0.0012090206146240234,0.0,0.9,0.05,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9767441860465116,0.9767441860465116,0.0,25,0.9962121212121212,0.9962121212121212,0.0
0.016730308532714844,0.0,0.0011920928955078125,0.0,0.9,0.05,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9767441860465116,0.9767441860465116,0.0,25,0.994328922495274,0.994328922495274,0.0
0.019239187240600586,0.0,0.0013222694396972656,0.0,0.9,0.05,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9767441860465116,0.9767441860465116,0.0,25,0.9962121212121212,0.9962121212121212,0.0
0.0245974063873291,0.0,0.0012927055358886719,0.0,0.8,0.05,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9722222222222222,0.9722222222222222,0.0,31,0.994328922495274,0.994328922495274,0.0
0.02680373191833496,0.0,0.0013055801391601562,0.0,0.8,0.05,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9722222222222222,0.9722222222222222,0.0,31,0.994328922495274,0.994328922495274,0.0
