mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.009537935256958008,0.0,0.001138448715209961,0.0,0.8,0.1,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.96,0.96,0.0,1,0.99812382739212,0.99812382739212,0.0
0.009182214736938477,0.0,0.0011708736419677734,0.0,0.8,0.1,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.009994029998779297,0.0,0.0011599063873291016,0.0,0.8,0.1,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.010989904403686523,0.0,0.0012333393096923828,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.008339405059814453,0.0,0.0011782646179199219,0.0,0.8,0.2,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.008137941360473633,0.0,0.0011792182922363281,0.0,0.8,0.2,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.008990764617919922,0.0,0.0011620521545410156,0.0,0.8,0.2,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.008680582046508789,0.0,0.0011453628540039062,0.0,0.8,0.2,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.008786201477050781,0.0,0.0011832714080810547,0.0,0.8,0.2,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.00876164436340332,0.0,0.0011298656463623047,0.0,0.8,0.2,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.96,0.96,0.0,1,1.0,1.0,0.0
0.009170770645141602,0.0,0.0011518001556396484,0.0,0.9,0.1,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.96,0.96,0.0,1,0.99812382739212,0.99812382739212,0.0
