mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.008992671966552734,0.0,0.0012073516845703125,0.0,0.8,0.1,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.00895380973815918,0.0,0.001177072525024414,0.0,0.8,0.1,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.00867605209350586,0.0,0.0010769367218017578,0.0,0.8,0.1,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.008510828018188477,0.0,0.001064300537109375,0.0,0.8,0.1,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.008255243301391602,0.0,0.0011451244354248047,0.0,0.8,0.1,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.008406877517700195,0.0,0.0011179447174072266,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.00843667984008789,0.0,0.00107574462890625,0.0,0.9,0.1,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.007974386215209961,0.0,0.0010879039764404297,0.0,0.9,0.1,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.008445978164672852,0.0,0.0010726451873779297,0.0,0.9,0.1,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.7523809523809524,0.7523809523809524,0.0,1,1.0,1.0,0.0
0.012830734252929688,0.0,0.0014841556549072266,0.0,0.8,0.05,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.7045454545454546,0.7045454545454546,0.0,10,1.0,1.0,0.0
