mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.02326798439025879,0.0,0.0012524127960205078,0.0,0.8,0.2,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.8486772970256315,0.8486772970256315,0.0,1,1.0,1.0,0.0
0.02717900276184082,0.0,0.0013344287872314453,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.8440307869663988,0.8440307869663988,0.0,2,1.0,1.0,0.0
0.026673555374145508,0.0,0.0012748241424560547,0.0,0.9,0.1,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8440307869663988,0.8440307869663988,0.0,2,1.0,1.0,0.0
0.02366018295288086,0.0,0.0012295246124267578,0.0,0.9,0.1,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8406742481094499,0.8406742481094499,0.0,4,0.9995934933162604,0.9995934933162604,0.0
0.021257877349853516,0.0,0.0012290477752685547,0.0,0.9,0.2,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8406742481094499,0.8406742481094499,0.0,4,1.0,1.0,0.0
0.02367711067199707,0.0,0.0014438629150390625,0.0,0.8,0.1,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8394774516821761,0.8394774516821761,0.0,6,1.0,1.0,0.0
0.02395033836364746,0.0,0.0014510154724121094,0.0,0.9,0.2,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.8394774516821761,0.8394774516821761,0.0,6,1.0,1.0,0.0
0.026492595672607422,0.0,0.0012683868408203125,0.0,0.8,0.1,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8360670717777676,0.8360670717777676,0.0,8,1.0,1.0,0.0
0.022762060165405273,0.0,0.0013053417205810547,0.0,0.9,0.1,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.8360670717777676,0.8360670717777676,0.0,8,0.9991869730686893,0.9991869730686893,0.0
0.026711225509643555,0.0,0.0012772083282470703,0.0,0.9,0.1,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.8360670717777676,0.8360670717777676,0.0,8,1.0,1.0,0.0
0.023205280303955078,0.0,0.0012440681457519531,0.0,0.8,0.1,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.8350141141307357,0.8350141141307357,0.0,11,0.9995934933162604,0.9995934933162604,0.0
0.02078866958618164,0.0,0.0012331008911132812,0.0,0.8,0.2,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8350141141307357,0.8350141141307357,0.0,11,1.0,1.0,0.0
0.02018141746520996,0.0,0.00125885009765625,0.0,0.9,0.2,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8324929971988795,0.8324929971988795,0.0,13,1.0,1.0,0.0
0.01998138427734375,0.0,0.001207113265991211,0.0,0.9,0.2,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8324929971988795,0.8324929971988795,0.0,13,1.0,1.0,0.0
0.025954723358154297,0.0,0.0012562274932861328,0.0,0.9,0.05,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.8}",0.8315532499237107,0.8315532499237107,0.0,15,0.9906482701786333,0.9906482701786333,0.0
0.024190664291381836,0.0,0.0013031959533691406,0.0,0.9,0.2,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8315532499237107,0.8315532499237107,0.0,15,1.0,1.0,0.0
0.02049422264099121,0.0,0.0012137889862060547,0.0,0.9,0.1,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8306377383300461,0.8306377383300461,0.0,17,0.9959345806125914,0.9959345806125914,0.0
0.0239105224609375,0.0,0.0014929771423339844,0.0,0.8,0.2,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8271295633500357,0.8271295633500357,0.0,18,1.0,1.0,0.0
0.020192623138427734,0.0,0.0012047290802001953,0.0,0.9,0.05,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8271295633500357,0.8271295633500357,0.0,18,0.9869875109715216,0.9869875109715216,0.0
0.021609783172607422,0.0,0.0012526512145996094,0.0,0.9,0.1,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8271295633500357,0.8271295633500357,0.0,18,0.9975608354014859,0.9975608354014859,0.0
0.01931285858154297,0.0,0.0012552738189697266,0.0,0.8,0.1,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8263454216070208,0.8263454216070208,0.0,21,0.9975607483675549,0.9975607483675549,0.0
0.01875758171081543,0.0,0.0012006759643554688,0.0,0.8,0.1,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.822792937399679,0.822792937399679,0.0,22,0.9971542576696035,0.9971542576696035,0.0
0.021838665008544922,0.0,0.0012900829315185547,0.0,0.8,0.2,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.8196078431372549,0.8196078431372549,0.0,23,1.0,1.0,0.0
0.02425241470336914,0.0,0.001251220703125,0.0,0.8,0.05,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.8}",0.8190757128810227,0.8190757128810227,0.0,24,0.9902414716965671,0.9902414716965671,0.0
0.027840614318847656,0.0,0.0012660026550292969,0.0,0.8,0.05,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8190757128810227,0.8190757128810227,0.0,24,0.9926816938265731,0.9926816938265731,0.0
0.02997303009033203,0.0,0.0013120174407958984,0.0,0.8,0.05,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.8190757128810227,0.8190757128810227,0.0,24,0.9939015294002782,0.9939015294002782,0.0
0.025249958038330078,0.0,0.0012431144714355469,0.0,0.9,0.05,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8190757128810227,0.8190757128810227,0.0,24,0.9902418715305313,0.9902418715305313,0.0
0.030649900436401367,0.0,0.0014820098876953125,0.0,0.9,0.05,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.8190757128810227,0.8190757128810227,0.0,24,0.9922752705736858,0.9922752705736858,0.0
0.0234982967376709,0.0,0.001207113265991211,0.0,0.8,0.2,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8151821278069619,0.8151821278069619,0.0,29,1.0,1.0,0.0
0.02071237564086914,0.0,0.0013017654418945312,0.0,0.8,0.05,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.8147816750178956,0.8147816750178956,0.0,30,0.9873944282748405,0.9873944282748405,0.0
0.02644491195678711,0.0,0.0013096332550048828,0.0,0.8,0.05,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.8147816750178956,0.8147816750178956,0.0,30,0.990241058930363,0.990241058930363,0.0
0.02085280418395996,0.0,0.0012001991271972656,0.0,0.9,0.05,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8147816750178956,0.8147816750178956,0.0,30,0.9861742304072417,0.9861742304072417,0.0
0.020961284637451172,0.0,0.0012145042419433594,0.0,0.9,0.2,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.8147816750178956,0.8147816750178956,0.0,30,1.0,1.0,0.0
0.020055294036865234,0.0,0.0012123584747314453,0.0,0.8,0.2,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.8108466212820395,0.8108466212820395,0.0,34,1.0,1.0,0.0
0.019798994064331055,0.0,0.0012240409851074219,0.0,0.8,0.05,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.7983505839375657,0.7983505839375657,0.0,35,0.9857672726419502,0.9857672726419502,0.0
0.028802156448364258,0.0,0.0012707710266113281,0.0,0.9,0.05,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.7982363960341756,0.7982363960341756,0.0,36,0.9926816938265731,0.9926816938265731,0.0
