mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.022895336151123047,0.0,0.0012545585632324219,0.0,0.9,0.2,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9736585365853658,0.9736585365853658,0.0,1,1.0,1.0,0.0
0.022054672241210938,0.0,0.0012583732604980469,0.0,0.8,0.2,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9736070381231672,0.9736070381231672,0.0,2,1.0,1.0,0.0
0.019025325775146484,0.0,0.001230478286743164,0.0,0.9,0.2,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9735553379040157,0.9735553379040157,0.0,3,1.0,1.0,0.0
0.02391791343688965,0.0,0.001466512680053711,0.0,0.8,0.1,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9727095516569201,0.9727095516569201,0.0,4,0.9996017522899243,0.9996017522899243,0.0
0.021199941635131836,0.0,0.0012569427490234375,0.0,0.8,0.2,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.97265625,0.97265625,0.0,5,1.0,1.0,0.0
0.027704954147338867,0.0,0.0013620853424072266,0.0,0.9,0.1,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9726027397260274,0.9726027397260274,0.0,6,1.0,1.0,0.0
0.018482208251953125,0.0,0.0012979507446289062,0.0,0.9,0.2,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9726027397260274,0.9726027397260274,0.0,6,1.0,1.0,0.0
0.021411895751953125,0.0,0.0012946128845214844,0.0,0.9,0.2,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9726027397260274,0.9726027397260274,0.0,6,1.0,1.0,0.0
0.03725004196166992,0.0,0.0013484954833984375,0.0,0.8,0.05,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9717624148003895,0.9717624148003895,0.0,9,0.9956366521221738,0.9956366521221738,0.0
0.039818763732910156,0.0,0.0013751983642578125,0.0,0.8,0.05,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9717624148003895,0.9717624148003895,0.0,9,0.9968228752978554,0.9968228752978554,0.0
0.024784326553344727,0.0,0.00128173828125,0.0,0.8,0.1,6,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9717624148003895,0.9717624148003895,0.0,9,0.9996017522899243,0.9996017522899243,0.0
0.020877838134765625,0.0,0.0012340545654296875,0.0,0.9,0.05,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9717624148003895,0.9717624148003895,0.0,9,0.9924752475247525,0.9924752475247525,0.0
0.03028273582458496,0.0,0.0013241767883300781,0.0,0.9,0.05,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9717624148003895,0.9717624148003895,0.0,9,0.9968203497615262,0.9968203497615262,0.0
0.020318031311035156,0.0,0.0012476444244384766,0.0,0.8,0.2,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9717073170731707,0.9717073170731707,0.0,14,1.0,1.0,0.0
0.026828527450561523,0.0,0.001275777816772461,0.0,0.9,0.05,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9717073170731707,0.9717073170731707,0.0,14,0.9956366521221738,0.9956366521221738,0.0
0.020867347717285156,0.0,0.0012423992156982422,0.0,0.9,0.1,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9717073170731707,0.9717073170731707,0.0,14,0.9988062077198567,0.9988062077198567,0.0
0.027402639389038086,0.0,0.001318216323852539,0.0,0.9,0.1,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9717073170731707,0.9717073170731707,0.0,14,1.0,1.0,0.0
0.023899555206298828,0.0,0.0013384819030761719,0.0,0.9,0.2,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9716520039100685,0.9716520039100685,0.0,18,1.0,1.0,0.0
0.019242048263549805,0.0,0.0012631416320800781,0.0,0.8,0.1,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9708171206225681,0.9708171206225681,0.0,19,0.9988062077198567,0.9988062077198567,0.0
0.0244448184967041,0.0,0.0013854503631591797,0.0,0.9,0.1,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9708171206225681,0.9708171206225681,0.0,19,1.0,1.0,0.0
0.01830577850341797,0.0,0.0012295246124267578,0.0,0.8,0.2,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9707602339181286,0.9707602339181286,0.0,21,1.0,1.0,0.0
0.021172523498535156,0.0,0.0012369155883789062,0.0,0.9,0.05,5,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9707602339181286,0.9707602339181286,0.0,21,0.9912974683544303,0.9912974683544303,0.0
0.02788686752319336,0.0,0.0012922286987304688,0.0,0.9,0.1,7,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9707602339181286,0.9707602339181286,0.0,21,1.0,1.0,0.0
0.02273869514465332,0.0,0.0012640953063964844,0.0,0.9,0.2,6,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__subsample': 0.9}",0.9707602339181286,0.9707602339181286,0.0,21,1.0,1.0,0.0
0.02080702781677246,0.0,0.0012984275817871094,0.0,0.8,0.1,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.970703125,0.970703125,0.0,25,0.9992038216560509,0.9992038216560509,0.0
0.020314931869506836,0.0,0.0012316703796386719,0.0,0.9,0.1,5,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__subsample': 0.9}",0.970703125,0.970703125,0.0,25,0.9988062077198567,0.9988062077198567,0.0
0.030618906021118164,0.0,0.0013179779052734375,0.0,0.8,0.05,5,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.9}",0.9698736637512148,0.9698736637512148,0.0,27,0.9912974683544303,0.9912974683544303,0.0
0.03908705711364746,0.0,0.0013518333435058594,0.0,0.8,0.05,6,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9698736637512148,0.9698736637512148,0.0,27,0.9944444444444445,0.9944444444444445,0.0
0.027309894561767578,0.0,0.0013120174407958984,0.0,0.8,0.1,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9698149951314509,0.9698149951314509,0.0,29,1.0,1.0,0.0
0.023825883865356445,0.0,0.0015101432800292969,0.0,0.8,0.2,7,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.8}",0.9698149951314509,0.9698149951314509,0.0,29,1.0,1.0,0.0
0.024846315383911133,0.0,0.0014925003051757812,0.0,0.9,0.05,6,0.8,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__subsample': 0.8}",0.9698149951314509,0.9698149951314509,0.0,29,0.9948433161443871,0.9948433161443871,0.0
0.03298330307006836,0.0,0.0016384124755859375,0.0,0.8,0.05,5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__subsample': 0.8}",0.9697560975609756,0.9697560975609756,0.0,32,0.9908982983775227,0.9908982983775227,0.0
0.025127887725830078,0.0,0.0014655590057373047,0.0,0.8,0.2,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9697560975609756,0.9697560975609756,0.0,32,1.0,1.0,0.0
0.03511786460876465,0.0,0.0014700889587402344,0.0,0.9,0.05,7,0.9,"{'model__colsample_bytree': 0.9, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9697560975609756,0.9697560975609756,0.0,32,0.9976152623211447,0.9976152623211447,0.0
0.030813932418823242,0.0,0.001317739486694336,0.0,0.8,0.05,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9688715953307393,0.9688715953307393,0.0,35,0.9980119284294234,0.9980119284294234,0.0
0.0262753963470459,0.0,0.0013430118560791016,0.0,0.8,0.1,7,0.9,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__subsample': 0.9}",0.9688109161793372,0.9688109161793372,0.0,36,1.0,1.0,0.0
