Dataset Name,Method,IQR Used,Filtered,MCC,F1-score (Malignant),AUC (Binary),Recall (Malignant),AUC (Probability),Balanced_Accuracy,F1-score (Benign),Frobenius_Kendall_Diff,Generation_Time,PR_AUC,Precision (Benign),Precision (Malignant),Recall (Benign),Training_Time
balanced_artificial_dataset,gan-tutorial,True,True,0.6826 (± 0.0392),0.9748 (± 0.0026),0.7940 (± 0.0256),0.9881 (± 0.0021),0.9468 (± 0.0169),0.7940 (± 0.0256),0.6962 (± 0.0399),0.1436 (± 0.0146),2.3408 (± 0.1467),0.9939 (± 0.0021),0.8313 (± 0.0278),0.9618 (± 0.0047),0.6000 (± 0.0511),1.2707 (± 0.3074)
balanced_artificial_dataset,gan-paper,False,True,0.6796 (± 0.0373),0.9737 (± 0.0038),0.8041 (± 0.0203),0.9838 (± 0.0081),0.9501 (± 0.0174),0.8041 (± 0.0203),0.6982 (± 0.0337),0.1556 (± 0.0450),1.2702 (± 0.1726),0.9942 (± 0.0026),0.7978 (± 0.0687),0.9639 (± 0.0039),0.6243 (± 0.0432),1.2171 (± 0.1936)
balanced_artificial_dataset,gan-tutorial,False,True,0.6795 (± 0.0229),0.9747 (± 0.0020),0.7841 (± 0.0176),0.9899 (± 0.0055),0.9455 (± 0.0229),0.7841 (± 0.0176),0.6879 (± 0.0225),0.1425 (± 0.0108),2.3570 (± 0.1171),0.9934 (± 0.0036),0.8545 (± 0.0564),0.9599 (± 0.0034),0.5784 (± 0.0387),1.0972 (± 0.1442)
balanced_artificial_dataset,gan-paper_2,True,True,0.6784 (± 0.0226),0.9742 (± 0.0022),0.7923 (± 0.0202),0.9873 (± 0.0067),0.9488 (± 0.0170),0.7923 (± 0.0202),0.6914 (± 0.0230),0.1608 (± 0.0219),1.6219 (± 0.2126),0.9938 (± 0.0025),0.8285 (± 0.0625),0.9615 (± 0.0040),0.5973 (± 0.0452),1.2642 (± 0.3986)
balanced_artificial_dataset,gan-tutorial,True,False,0.6756 (± 0.0209),0.9741 (± 0.0013),0.7921 (± 0.0215),0.9870 (± 0.0041),0.9502 (± 0.0202),0.7921 (± 0.0215),0.6900 (± 0.0239),0.1340 (± 0.0229),2.3408 (± 0.1467),0.9942 (± 0.0027),0.8213 (± 0.0356),0.9615 (± 0.0041),0.5973 (± 0.0462),1.2261 (± 0.1929)
balanced_artificial_dataset,wgangp,True,False,0.6755 (± 0.0175),0.9747 (± 0.0013),0.7732 (± 0.0140),0.9923 (± 0.0033),0.9527 (± 0.0188),0.7732 (± 0.0140),0.6785 (± 0.0186),0.1330 (± 0.0147),0.7776 (± 0.0768),0.9945 (± 0.0026),0.8786 (± 0.0395),0.9578 (± 0.0027),0.5541 (± 0.0302),1.2027 (± 0.1932)
balanced_artificial_dataset,smotified_gan,False,True,0.6744 (± 0.0488),0.9740 (± 0.0040),0.7914 (± 0.0262),0.9869 (± 0.0060),0.9366 (± 0.0159),0.7914 (± 0.0262),0.6888 (± 0.0456),0.1780 (± 0.0287),3.1059 (± 1.0331),0.9920 (± 0.0027),0.8206 (± 0.0642),0.9614 (± 0.0048),0.5959 (± 0.0519),1.0159 (± 0.0790)
balanced_artificial_dataset,smote,False,True,0.6739 (± 0.0240),0.9716 (± 0.0026),0.8277 (± 0.0190),0.9743 (± 0.0069),0.9544 (± 0.0129),0.8277 (± 0.0190),0.7009 (± 0.0220),0.1549 (± 0.0129),0.0016 (± 0.0002),0.9950 (± 0.0017),0.7252 (± 0.0428),0.9689 (± 0.0039),0.6811 (± 0.0423),1.2266 (± 0.1960)
balanced_artificial_dataset,wgangp,True,True,0.6731 (± 0.0198),0.9746 (± 0.0013),0.7706 (± 0.0172),0.9926 (± 0.0031),0.9462 (± 0.0199),0.7706 (± 0.0172),0.6751 (± 0.0225),0.1434 (± 0.0093),0.7776 (± 0.0768),0.9935 (± 0.0030),0.8812 (± 0.0375),0.9573 (± 0.0032),0.5486 (± 0.0365),1.1303 (± 0.1618)
balanced_artificial_dataset,smote,False,False,0.6727 (± 0.0337),0.9711 (± 0.0041),0.8297 (± 0.0103),0.9729 (± 0.0085),0.9550 (± 0.0149),0.8297 (± 0.0103),0.7006 (± 0.0293),0.1703 (± 0.0169),0.0016 (± 0.0002),0.9949 (± 0.0020),0.7180 (± 0.0606),0.9694 (± 0.0020),0.6865 (± 0.0222),1.3178 (± 0.2162)
