filename,seed,dataset,method,classifier,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1
42-Clean_blood-baseline-lightgbm.txt,42,Clean_blood,baseline,lightgbm,0.76,0.65,0.63,0.64,0.74,0.76,0.75,0.82,0.87,0.84,0.49,0.39,0.43
42-Clean_blood-baseline-random_forest.txt,42,Clean_blood,baseline,random_forest,0.73,0.63,0.63,0.63,0.73,0.73,0.73,0.82,0.82,0.82,0.43,0.43,0.43
42-Clean_blood-baseline-tune_hgb.txt,42,Clean_blood,baseline,tune_hgb,0.7,0.54,0.53,0.53,0.66,0.7,0.68,0.77,0.86,0.81,0.31,0.2,0.25
42-Clean_blood-baseline-xgboost.txt,42,Clean_blood,baseline,xgboost,0.76,0.66,0.66,0.66,0.75,0.76,0.75,0.83,0.85,0.84,0.49,0.46,0.48
42-Clean_blood-ctgan-lightgbm.txt,42,Clean_blood,ctgan,lightgbm,0.77,0.68,0.68,0.68,0.77,0.77,0.77,0.84,0.85,0.85,0.52,0.5,0.51
42-Clean_blood-ctgan-random_forest.txt,42,Clean_blood,ctgan,random_forest,0.74,0.64,0.65,0.65,0.74,0.74,0.74,0.83,0.82,0.83,0.46,0.48,0.47
42-Clean_blood-ctgan-tune_hgb.txt,42,Clean_blood,ctgan,tune_hgb,0.76,0.38,0.5,0.43,0.58,0.76,0.66,0.76,1.0,0.86,0.0,0.0,0.0
42-Clean_blood-ctgan-xgboost.txt,42,Clean_blood,ctgan,xgboost,0.78,0.69,0.69,0.69,0.78,0.78,0.78,0.85,0.86,0.85,0.54,0.52,0.53
42-Clean_blood-ctgan_filtered-lightgbm.txt,42,Clean_blood,ctgan_filtered,lightgbm,0.75,0.66,0.66,0.66,0.75,0.75,0.75,0.84,0.82,0.83,0.47,0.5,0.49
42-Clean_blood-ctgan_filtered-random_forest.txt,42,Clean_blood,ctgan_filtered,random_forest,0.73,0.64,0.64,0.64,0.74,0.73,0.73,0.83,0.81,0.82,0.44,0.48,0.46
42-Clean_blood-ctgan_filtered-tune_hgb.txt,42,Clean_blood,ctgan_filtered,tune_hgb,0.29,0.36,0.33,0.29,0.47,0.29,0.32,0.58,0.26,0.36,0.14,0.39,0.21
42-Clean_blood-ctgan_filtered-xgboost.txt,42,Clean_blood,ctgan_filtered,xgboost,0.78,0.7,0.67,0.68,0.77,0.78,0.77,0.84,0.89,0.86,0.56,0.44,0.49
42-Clean_blood-gan_from_tutorial-random_forest.txt,42,Clean_blood,gan_from_tutorial,random_forest,0.73,0.64,0.64,0.64,0.74,0.73,0.73,0.83,0.82,0.82,0.45,0.46,0.45
42-Clean_blood-gan_from_tutorial-tune_hgb.txt,42,Clean_blood,gan_from_tutorial,tune_hgb,0.76,0.67,0.64,0.65,0.75,0.76,0.75,0.82,0.88,0.85,0.51,0.41,0.45
42-Clean_blood-gan_from_tutorial-xgboost.txt,42,Clean_blood,gan_from_tutorial,xgboost,0.76,0.67,0.66,0.67,0.76,0.76,0.76,0.84,0.86,0.85,0.51,0.46,0.49
42-Clean_blood-gan_from_tutorial_filtered-random_forest.txt,42,Clean_blood,gan_from_tutorial_filtered,random_forest,0.71,0.62,0.64,0.62,0.73,0.71,0.72,0.83,0.77,0.8,0.41,0.5,0.45
