Case,IQR Used,Filtered,Balancing Method,MCC,F1-score (Malignant),AUC (Binary),AUC (Probability),Precision (Benign),Precision (Malignant),Recall (Benign),Recall (Malignant),F1-score (Benign)
Breast_Cancer_Wisconsin-gan_from_tutorial_filtered,False,True,gan-tutorial,0.9190 (± 0.0278),0.9484 (± 0.0173),0.9561 (± 0.0137),0.9852 (± 0.0170),0.9607 (± 0.0126),0.9651 (± 0.0261),0.9794 (± 0.0158),0.9328 (± 0.0222),0.9699 (± 0.0104)
iqr_Breast_Cancer_Wisconsin-smote,True,False,smote,0.9113 (± 0.0320),0.9438 (± 0.0205),0.9533 (± 0.0174),0.9840 (± 0.0198),0.9606 (± 0.0172),0.9555 (± 0.0215),0.9738 (± 0.0131),0.9328 (± 0.0304),0.9671 (± 0.0118)
iqr_Breast_Cancer_Wisconsin-gan_paper_filtered,True,True,gan-paper,0.9075 (± 0.0284),0.9412 (± 0.0182),0.9507 (± 0.0153),0.9837 (± 0.0206),0.9571 (± 0.0149),0.9568 (± 0.0204),0.9748 (± 0.0125),0.9266 (± 0.0266),0.9658 (± 0.0105)
Breast_Cancer_Wisconsin-smote,False,False,smote,0.9063 (± 0.0473),0.9402 (± 0.0301),0.9493 (± 0.0241),0.9849 (± 0.0208),0.9545 (± 0.0202),0.9596 (± 0.0318),0.9766 (± 0.0183),0.9219 (± 0.0353),0.9654 (± 0.0172)
Breast_Cancer_Wisconsin-gan_paper,False,False,gan-paper,0.9052 (± 0.0308),0.9396 (± 0.0196),0.9494 (± 0.0160),0.9854 (± 0.0132),0.9562 (± 0.0159),0.9555 (± 0.0264),0.9738 (± 0.0164),0.9250 (± 0.0283),0.9648 (± 0.0114)
iqr_Breast_Cancer_Wisconsin-smote_filtered,True,True,smote,0.9050 (± 0.0301),0.9397 (± 0.0194),0.9497 (± 0.0163),0.9844 (± 0.0210),0.9570 (± 0.0155),0.9536 (± 0.0197),0.9729 (± 0.0120),0.9266 (± 0.0276),0.9648 (± 0.0111)
Breast_Cancer_Wisconsin-smote_filtered,False,True,smote,0.9015 (± 0.0398),0.9376 (± 0.0252),0.9486 (± 0.0207),0.9834 (± 0.0179),0.9578 (± 0.0193),0.9480 (± 0.0295),0.9692 (± 0.0182),0.9281 (± 0.0339),0.9633 (± 0.0147)
Breast_Cancer_Wisconsin-gan_from_tutorial,False,False,gan-tutorial,0.8992 (± 0.0280),0.9351 (± 0.0178),0.9443 (± 0.0141),0.9899 (± 0.0051),0.9486 (± 0.0144),0.9615 (± 0.0297),0.9776 (± 0.0193),0.9109 (± 0.0266),0.9627 (± 0.0108)
iqr_Breast_Cancer_Wisconsin-gan_from_tutorial_filtered,True,True,gan-tutorial,0.8968 (± 0.0372),0.9343 (± 0.0229),0.9449 (± 0.0173),0.9838 (± 0.0201),0.9525 (± 0.0142),0.9514 (± 0.0380),0.9710 (± 0.0243),0.9187 (± 0.0253),0.9615 (± 0.0144)
iqr_Breast_Cancer_Wisconsin-gan_from_tutorial,True,False,gan-tutorial,0.8938 (± 0.0418),0.9302 (± 0.0303),0.9403 (± 0.0260),0.9854 (± 0.0106),0.9451 (± 0.0288),0.9623 (± 0.0360),0.9776 (± 0.0234),0.9031 (± 0.0565),0.9606 (± 0.0157)
Breast_Cancer_Wisconsin-gan_paper_filtered,False,True,gan-paper,0.8926 (± 0.0377),0.9319 (± 0.0237),0.9435 (± 0.0189),0.9840 (± 0.0163),0.9524 (± 0.0161),0.9460 (± 0.0304),0.9682 (± 0.0188),0.9187 (± 0.0283),0.9601 (± 0.0142)
iqr_Breast_Cancer_Wisconsin-gan_paper,True,False,gan-paper,0.8890 (± 0.0500),0.9294 (± 0.0317),0.9421 (± 0.0264),0.9833 (± 0.0234),0.9525 (± 0.0248),0.9415 (± 0.0340),0.9654 (± 0.0207),0.9187 (± 0.0435),0.9587 (± 0.0185)
