Oryginalna Nazwa Pliku,Nazwa Metody Balansowania,Nazwa Datasetu,Wasserstein Mean,KL Divergence Mean,Pairwise Real-Real,Pairwise Synth-Synth,Pairwise Real-Synth
gan_from_tutorial_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial,Breast_Cancer_Wisconsin_dataset,0.3473 (± 0.0331),4.3157 (± 0.7972),6.7836 (± 0.2832),5.2090 (± 0.4199),6.2355 (± 0.1539)
gan_from_tutorial_filtered_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial_filtered,Breast_Cancer_Wisconsin_dataset,0.3442 (± 0.0129),0.4707 (± 0.0617),7.0923 (± 0.1113),4.9350 (± 0.2882),6.3191 (± 0.0963)
gan_from_tutorial_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.3432 (± 0.0079),0.4748 (± 0.0471),6.8795 (± 0.0660),4.9251 (± 0.2453),6.2092 (± 0.1287)
gan_from_tutorial_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial_iqr,Breast_Cancer_Wisconsin_dataset,0.3438 (± 0.0388),5.7684 (± 0.7779),6.7131 (± 0.2051),5.0342 (± 0.2325),6.1462 (± 0.1166)
gan_paper_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper,Breast_Cancer_Wisconsin_dataset,0.2702 (± 0.0328),3.4472 (± 0.6694),7.1651 (± 0.4462),5.6422 (± 0.3734),6.4479 (± 0.3540)
gan_paper_filtered_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper_filtered,Breast_Cancer_Wisconsin_dataset,0.2530 (± 0.0107),0.2995 (± 0.0537),7.0923 (± 0.1113),5.4334 (± 0.1680),6.3659 (± 0.1023)
gan_paper_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.2656 (± 0.0160),0.2961 (± 0.0395),6.8795 (± 0.0660),5.4524 (± 0.2223),6.3078 (± 0.1126)
gan_paper_iqr_Breast_Cancer_Wisconsin_dataset_metrics,gan_paper_iqr,Breast_Cancer_Wisconsin_dataset,0.2776 (± 0.0427),4.6127 (± 0.6804),7.0065 (± 0.2500),5.5615 (± 0.2022),6.3700 (± 0.1896)
smote_Breast_Cancer_Wisconsin_dataset_metrics,smote,Breast_Cancer_Wisconsin_dataset,0.1628 (± 0.0232),1.4993 (± 0.1430),6.9725 (± 0.2577),6.0058 (± 0.4513),6.4831 (± 0.2740)
smote_filtered_Breast_Cancer_Wisconsin_dataset_metrics,smote_filtered,Breast_Cancer_Wisconsin_dataset,0.1406 (± 0.0218),0.9335 (± 0.1056),7.0747 (± 0.1816),6.1811 (± 0.4151),6.6102 (± 0.2043)
smote_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,smote_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.1263 (± 0.0237),0.9221 (± 0.1411),6.8852 (± 0.1156),6.2990 (± 0.2395),6.5688 (± 0.1378)
smote_iqr_Breast_Cancer_Wisconsin_dataset_metrics,smote_iqr,Breast_Cancer_Wisconsin_dataset,0.1402 (± 0.0176),1.7275 (± 0.1499),6.8190 (± 0.1431),6.1537 (± 0.2526),6.4701 (± 0.1330)
