Oryginalna Nazwa Pliku,Nazwa Metody Balansowania,Nazwa Datasetu,Wasserstein Mean,KL Divergence Mean,Pairwise Real-Real,Pairwise Synth-Synth,Pairwise Real-Synth
ctgan_Breast_Cancer_Wisconsin_dataset_metrics,ctgan,Breast_Cancer_Wisconsin_dataset,0.3934 (± 0.0436),2.6387 (± 0.6557),7.3186 (± 0.7764),10.3692 (± 0.7705),9.0048 (± 0.5745)
ctgan_creditcard_dataset_metrics,ctgan_creditcard_dataset_metrics,Nieznany,2.2769 (± 0.2196),0.3376 (± 0.0235),23.4675 (± 0.8182),45.3504 (± 2.7589),39.2305 (± 1.9327)
ctgan_filtered_Breast_Cancer_Wisconsin_dataset_metrics,ctgan_filtered,Breast_Cancer_Wisconsin_dataset,0.3296 (± 0.0426),1.8513 (± 0.5103),7.1251 (± 0.4810),8.4849 (± 0.6285),7.9545 (± 0.4126)
ctgan_filtered_creditcard_dataset_metrics,ctgan_filtered_creditcard_dataset_metrics,Nieznany,1.0961 (± 0.1473),0.3590 (± 0.0542),23.4758 (± 0.8246),21.1618 (± 1.1205),23.4116 (± 0.7859)
ctgan_filtered_iqr_Breast_Cancer_Wisconsin_dataset_metrics,ctgan_filtered_iqr,Breast_Cancer_Wisconsin_dataset,0.2204 (± 0.0635),4.5053 (± 1.2542),6.9959 (± 0.3040),7.0607 (± 0.3271),6.9752 (± 0.2300)
ctgan_filtered_iqr_creditcard_dataset_metrics,ctgan_filtered_iqr_creditcard_dataset_metrics,Nieznany,0.4986 (± 0.0376),0.5300 (± 0.0205),9.7757 (± 0.0809),11.5392 (± 0.2687),11.1290 (± 0.1760)
ctgan_iqr_Breast_Cancer_Wisconsin_dataset_metrics,ctgan_iqr,Breast_Cancer_Wisconsin_dataset,0.2930 (± 0.0509),3.6261 (± 0.6013),7.0223 (± 0.3265),8.1574 (± 0.3195),7.6726 (± 0.3392)
ctgan_iqr_creditcard_dataset_metrics,ctgan_iqr_creditcard_dataset_metrics,Nieznany,0.5430 (± 0.0578),0.5486 (± 0.0297),9.7757 (± 0.0809),11.9483 (± 0.3072),11.4011 (± 0.2598)
gan_from_tutorial_Breast_Cancer_Wisconsin_dataset_metrics,gan_from_tutorial,Breast_Cancer_Wisconsin_dataset,0.3956 (± 0.1090),4.6571 (± 0.6303),6.3780 (± 1.7718),3.9939 (± 0.8881),5.4841 (± 1.4020)
gan_from_tutorial_creditcard_dataset_metrics,gan_from_tutorial_creditcard_dataset_metrics,Nieznany,2.6555 (± 0.6160),5.2868 (± 0.8927),22.3606 (± 5.4194),0.1155 (± 0.3063),20.5829 (± 4.7582)
