Case,IQR Used,Filtered,Balancing Method,MCC,F1-score (Malignant),AUC (Binary),AUC (Probability),F1-score (Benign),Frobenius_Kendall_Diff,Precision (Benign),Precision (Malignant),Recall (Benign),Recall (Malignant)
Clean_Breast_Cancer_Wisconsin-smote,False,False,clean_-smote,0.9178 (± 0.0276),0.9463 (± 0.0179),0.9514 (± 0.0144),0.9909 (± 0.0018),0.9697 (± 0.0101),0.1385 (± 0.0423),0.9497 (± 0.0129),0.9834 (± 0.0208),0.9907 (± 0.0122),0.9121 (± 0.0235)
iqr_Clean_Breast_Cancer_Wisconsin-wgangp,True,False,clean_-wgangp,0.9050 (± 0.0230),0.9386 (± 0.0161),0.9475 (± 0.0163),0.9883 (± 0.0042),0.9650 (± 0.0081),0.2452 (± 0.0457),0.9517 (± 0.0216),0.9636 (± 0.0130),0.9790 (± 0.0083),0.9160 (± 0.0391)
iqr_Clean_Breast_Cancer_Wisconsin-smotified_gan_filtered,True,True,clean_-smotified_gan,0.9020 (± 0.0232),0.9363 (± 0.0167),0.9451 (± 0.0167),0.9877 (± 0.0047),0.9639 (± 0.0082),0.2279 (± 0.0596),0.9486 (± 0.0216),0.9653 (± 0.0122),0.9801 (± 0.0078),0.9102 (± 0.0398)
Clean_Breast_Cancer_Wisconsin-smote_filtered,False,True,clean_-smote,0.8971 (± 0.0127),0.9338 (± 0.0086),0.9434 (± 0.0080),0.9845 (± 0.0042),0.9620 (± 0.0048),0.1528 (± 0.0255),0.9481 (± 0.0126),0.9596 (± 0.0199),0.9766 (± 0.0132),0.9102 (± 0.0233)
Clean_Breast_Cancer_Wisconsin-gan_paper,False,False,clean_-gan-paper,0.8931 (± 0.0186),0.9301 (± 0.0130),0.9393 (± 0.0125),0.9869 (± 0.0046),0.9605 (± 0.0068),0.2263 (± 0.0491),0.9422 (± 0.0187),0.9658 (± 0.0281),0.9801 (± 0.0176),0.8984 (± 0.0354)
iqr_Clean_Breast_Cancer_Wisconsin-gan_paper_filtered,True,True,clean_-gan-paper,0.8927 (± 0.0194),0.9310 (± 0.0137),0.9424 (± 0.0147),0.9867 (± 0.0054),0.9602 (± 0.0064),0.2585 (± 0.0351),0.9504 (± 0.0226),0.9504 (± 0.0215),0.9708 (± 0.0145),0.9141 (± 0.0409)
Clean_Breast_Cancer_Wisconsin-wgangp_filtered,False,True,clean_-wgangp,0.8925 (± 0.0200),0.9305 (± 0.0145),0.9409 (± 0.0147),0.9874 (± 0.0031),0.9604 (± 0.0068),0.2485 (± 0.0485),0.9462 (± 0.0203),0.9573 (± 0.0144),0.9755 (± 0.0099),0.9062 (± 0.0374)
iqr_Clean_Breast_Cancer_Wisconsin-smote_filtered,True,True,clean_-smote,0.8924 (± 0.0220),0.9307 (± 0.0155),0.9413 (± 0.0151),0.9901 (± 0.0028),0.9603 (± 0.0077),0.2595 (± 0.0534),0.9471 (± 0.0194),0.9554 (± 0.0148),0.9743 (± 0.0097),0.9082 (± 0.0359)
Clean_Breast_Cancer_Wisconsin-gan_from_tutorial,False,False,clean_-gan-tutorial,0.8911 (± 0.0162),0.9292 (± 0.0113),0.9391 (± 0.0121),0.9869 (± 0.0044),0.9599 (± 0.0056),0.2424 (± 0.0465),0.9430 (± 0.0181),0.9613 (± 0.0197),0.9778 (± 0.0122),0.9004 (± 0.0333)
iqr_Clean_Breast_Cancer_Wisconsin-smotified_gan,True,False,clean_-smotified_gan,0.8910 (± 0.0268),0.9290 (± 0.0181),0.9387 (± 0.0164),0.9873 (± 0.0044),0.9600 (± 0.0094),0.2333 (± 0.0681),0.9420 (± 0.0195),0.9628 (± 0.0179),0.9790 (± 0.0109),0.8984 (± 0.0354)
Clean_Breast_Cancer_Wisconsin-ctgan_filtered,False,True,clean_-ctgan,0.8909 (± 0.0196),0.9293 (± 0.0144),0.9395 (± 0.0140),0.9890 (± 0.0028),0.9599 (± 0.0067),0.2395 (± 0.0351),0.9440 (± 0.0182),0.9590 (± 0.0135),0.9766 (± 0.0087),0.9023 (± 0.0342)
iqr_Clean_Breast_Cancer_Wisconsin-wgangp_filtered,True,True,clean_-wgangp,0.8908 (± 0.0227),0.9293 (± 0.0163),0.9395 (± 0.0158),0.9888 (± 0.0043),0.9599 (± 0.0079),0.2397 (± 0.0625),0.9440 (± 0.0195),0.9588 (± 0.0071),0.9766 (± 0.0050),0.9023 (± 0.0362)
iqr_Clean_Breast_Cancer_Wisconsin-gan_paper,True,False,clean_-gan-paper,0.8897 (± 0.0181),0.9283 (± 0.0127),0.9385 (± 0.0124),0.9867 (± 0.0047),0.9593 (± 0.0065),0.2649 (± 0.0392),0.9430 (± 0.0183),0.9596 (± 0.0247),0.9766 (± 0.0158),0.9004 (± 0.0344)
iqr_Clean_Breast_Cancer_Wisconsin-gan_from_tutorial_filtered,True,True,clean_-gan-tutorial,0.8895 (± 0.0156),0.9291 (± 0.0116),0.9409 (± 0.0125),0.9881 (± 0.0034),0.9590 (± 0.0053),0.2411 (± 0.0485),0.9491 (± 0.0197),0.9483 (± 0.0203),0.9696 (± 0.0139),0.9121 (± 0.0363)
Clean_Breast_Cancer_Wisconsin-wgangp,False,False,clean_-wgangp,0.8894 (± 0.0183),0.9285 (± 0.0133),0.9393 (± 0.0139),0.9882 (± 0.0038),0.9592 (± 0.0062),0.2439 (± 0.0387),0.9450 (± 0.0200),0.9554 (± 0.0160),0.9743 (± 0.0109),0.9043 (± 0.0368)
Clean_Breast_Cancer_Wisconsin-gan_paper_filtered,False,True,clean_-gan-paper,0.8893 (± 0.0277),0.9289 (± 0.0175),0.9397 (± 0.0143),0.9838 (± 0.0149),0.9591 (± 0.0105),0.2065 (± 0.0496),0.9457 (± 0.0144),0.9536 (± 0.0271),0.9731 (± 0.0169),0.9062 (± 0.0264)
