Case,IQR Used,Filtered,Balancing Method,MCC,F1-score (Malignant),AUC (Binary),AUC (Probability),Precision (Benign),Precision (Malignant),Recall (Benign),Recall (Malignant),F1-score (Benign)
Breast_Cancer_Wisconsin-wgangp,False,False,breast_cancer_wisconsin-wgangp,0.9629 (± 0.0174),0.9759 (± 0.0116),0.9766 (± 0.0110),0.9925 (± 0.0011),0.9728 (± 0.0125),1.0000 (± 0.0000),1.0000 (± 0.0000),0.9531 (± 0.0221),0.9862 (± 0.0064)
iqr_Breast_Cancer_Wisconsin-ctgan,True,False,breast_cancer_wisconsin-ctgan,0.9568 (± 0.0087),0.9719 (± 0.0058),0.9727 (± 0.0055),0.9936 (± 0.0038),0.9683 (± 0.0062),1.0000 (± 0.0000),1.0000 (± 0.0000),0.9453 (± 0.0110),0.9839 (± 0.0032)
iqr_Breast_Cancer_Wisconsin-smote,True,False,breast_cancer_wisconsin-smote,0.9506 (± 0.0000),0.9677 (± 0.0000),0.9688 (± 0.0000),0.9939 (± 0.0000),0.9640 (± 0.0000),1.0000 (± 0.0000),1.0000 (± 0.0000),0.9375 (± 0.0000),0.9817 (± 0.0000)
Breast_Cancer_Wisconsin-smote,False,False,breast_cancer_wisconsin-smote,0.9385 (± 0.0000),0.9593 (± 0.0000),0.9609 (± 0.0000),0.9915 (± 0.0000),0.9554 (± 0.0000),1.0000 (± 0.0000),1.0000 (± 0.0000),0.9219 (± 0.0000),0.9772 (± 0.0000)
Breast_Cancer_Wisconsin-smotified_gan,False,False,breast_cancer_wisconsin-smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iqr_Breast_Cancer_Wisconsin-smotified_gan_filtered,True,True,breast_cancer_wisconsin-smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Breast_Cancer_Wisconsin-smotified_gan_filtered,False,True,breast_cancer_wisconsin-smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iqr_Breast_Cancer_Wisconsin-smotified_gan,True,False,breast_cancer_wisconsin-smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iqr_Breast_Cancer_Wisconsin-wgangp,True,False,breast_cancer_wisconsin-wgangp,0.9125 (± 0.0712),0.9433 (± 0.0463),0.9500 (± 0.0375),0.9784 (± 0.0246),0.9506 (± 0.0312),0.9746 (± 0.0360),0.9860 (± 0.0198),0.9141 (± 0.0552),0.9680 (± 0.0257)
Breast_Cancer_Wisconsin-gan_from_tutorial,False,False,breast_cancer_wisconsin-gan-tutorial,0.9052 (± 0.0605),0.9354 (± 0.0439),0.9414 (± 0.0363),0.9894 (± 0.0078),0.9377 (± 0.0342),0.9908 (± 0.0185),0.9953 (± 0.0091),0.8875 (± 0.0666),0.9654 (± 0.0214)
Breast_Cancer_Wisconsin-gan_from_tutorial_filtered,False,True,breast_cancer_wisconsin-gan-tutorial,0.9003 (± 0.0718),0.9366 (± 0.0431),0.9461 (± 0.0301),0.9794 (± 0.0402),0.9558 (± 0.0092),0.9529 (± 0.0841),0.9673 (± 0.0637),0.9250 (± 0.0177),0.9605 (± 0.0341)
iqr_Breast_Cancer_Wisconsin-gan_paper,True,False,breast_cancer_wisconsin-gan-paper,0.8959 (± 0.0369),0.9335 (± 0.0224),0.9433 (± 0.0153),0.9676 (± 0.0228),0.9484 (± 0.0060),0.9570 (± 0.0372),0.9751 (± 0.0216),0.9115 (± 0.0090),0.9615 (± 0.0135)
Breast_Cancer_Wisconsin-gan_paper,False,False,breast_cancer_wisconsin-gan-paper,0.8945 (± 0.0793),0.9288 (± 0.0561),0.9367 (± 0.0453),0.9890 (± 0.0136),0.9349 (± 0.0406),0.9814 (± 0.0272),0.9907 (± 0.0132),0.8828 (± 0.0781),0.9618 (± 0.0277)
iqr_Breast_Cancer_Wisconsin-gan_paper_filtered,True,True,breast_cancer_wisconsin-gan-paper,0.8933 (± 0.0487),0.9327 (± 0.0287),0.9449 (± 0.0172),0.9771 (± 0.0164),0.9568 (± 0.0035),0.9404 (± 0.0659),0.9626 (± 0.0428),0.9271 (± 0.0090),0.9593 (± 0.0199)
iqr_Breast_Cancer_Wisconsin-smote_filtered,True,True,breast_cancer_wisconsin-smote,0.8881 (± 0.0000),0.9302 (± 0.0000),0.9454 (± 0.0000),0.9931 (± 0.0000),0.9623 (± 0.0000),0.9231 (± 0.0000),0.9533 (± 0.0000),0.9375 (± 0.0000),0.9577 (± 0.0000)
Breast_Cancer_Wisconsin-wgangp_filtered,False,True,breast_cancer_wisconsin-wgangp,0.8750 (± 0.1243),0.9211 (± 0.0777),0.9344 (± 0.0596),0.9896 (± 0.0129),0.9447 (± 0.0396),0.9365 (± 0.0898),0.9626 (± 0.0529),0.9062 (± 0.0663),0.9536 (± 0.0461)
iqr_Breast_Cancer_Wisconsin-gan_from_tutorial,True,False,breast_cancer_wisconsin-gan-tutorial,0.8732 (± 0.0718),0.9196 (± 0.0442),0.9326 (± 0.0325),0.9629 (± 0.0334),0.9419 (± 0.0180),0.9394 (± 0.0609),0.9642 (± 0.0362),0.9010 (± 0.0291),0.9528 (± 0.0268)
iqr_Breast_Cancer_Wisconsin-wgangp_filtered,True,True,breast_cancer_wisconsin-wgangp,0.8683 (± 0.0090),0.9157 (± 0.0052),0.9290 (± 0.0033),0.9599 (± 0.0060),0.9367 (± 0.0004),0.9422 (± 0.0110),0.9673 (± 0.0066),0.8906 (± 0.0000),0.9517 (± 0.0034)
creditcard-gan_from_tutorial_filtered,False,True,gan-tutorial,0.8565 (± 0.0211),0.8524 (± 0.0234),0.8898 (± 0.0210),0.9698 (± 0.0198),0.9996 (± 0.0001),0.9423 (± 0.0192),0.9999 (± 0.0000),0.7797 (± 0.0421),0.9998 (± 0.0000)
creditcard-gan_from_tutorial,False,False,gan-tutorial,0.8507 (± 0.0237),0.8464 (± 0.0237),0.8862 (± 0.0165),0.9694 (± 0.0137),0.9996 (± 0.0001),0.9383 (± 0.0425),0.9999 (± 0.0001),0.7725 (± 0.0330),0.9998 (± 0.0000)
Breast_Cancer_Wisconsin-smote_filtered,False,True,breast_cancer_wisconsin-smote,0.8502 (± 0.0000),0.9062 (± 0.0000),0.9251 (± 0.0000),0.9413 (± 0.0000),0.9439 (± 0.0000),0.9062 (± 0.0000),0.9439 (± 0.0000),0.9062 (± 0.0000),0.9439 (± 0.0000)
iqr_creditcard-gan_from_tutorial_filtered,True,True,gan-tutorial,0.8476 (± 0.0178),0.8443 (± 0.0181),0.8878 (± 0.0129),0.9683 (± 0.0215),0.9996 (± 0.0000),0.9271 (± 0.0259),0.9999 (± 0.0000),0.7758 (± 0.0259),0.9998 (± 0.0000)
creditcard-wgangp,False,False,wgangp,0.8453 (± 0.0085),0.8399 (± 0.0093),0.8767 (± 0.0072),0.9631 (± 0.0001),0.9996 (± 0.0000),0.9489 (± 0.0009),0.9999 (± 0.0000),0.7534 (± 0.0143),0.9998 (± 0.0000)
iqr_Breast_Cancer_Wisconsin-ctgan_filtered,True,True,breast_cancer_wisconsin-ctgan,0.8441 (± 0.0787),0.9024 (± 0.0483),0.9212 (± 0.0364),0.9720 (± 0.0113),0.9393 (± 0.0209),0.9066 (± 0.0637),0.9439 (± 0.0397),0.8984 (± 0.0331),0.9416 (± 0.0302)
creditcard-gan_paper_filtered,False,True,gan-paper,0.8431 (± 0.0392),0.8394 (± 0.0384),0.8895 (± 0.0173),0.9711 (± 0.0207),0.9996 (± 0.0001),0.9156 (± 0.0815),0.9999 (± 0.0002),0.7791 (± 0.0347),0.9997 (± 0.0001)
creditcard-gan_paper,False,False,gan-paper,0.8411 (± 0.0455),0.8367 (± 0.0449),0.8871 (± 0.0142),0.9735 (± 0.0090),0.9996 (± 0.0000),0.9177 (± 0.0977),0.9999 (± 0.0002),0.7744 (± 0.0285),0.9997 (± 0.0001)
creditcard-wgangp_filtered,False,True,wgangp,0.8409 (± 0.0246),0.8343 (± 0.0247),0.8699 (± 0.0120),0.9657 (± 0.0046),0.9995 (± 0.0000),0.9563 (± 0.0250),0.9999 (± 0.0000),0.7399 (± 0.0239),0.9997 (± 0.0000)
creditcard-ctgan,False,False,ctgan,0.8390 (± 0.0093),0.8386 (± 0.0091),0.9036 (± 0.0024),0.9660 (± 0.0050),0.9997 (± 0.0000),0.8723 (± 0.0142),0.9998 (± 0.0000),0.8074 (± 0.0048),0.9997 (± 0.0000)
iqr_creditcard-wgangp,True,False,wgangp,0.8359 (± 0.0054),0.8308 (± 0.0053),0.8733 (± 0.0024),0.9642 (± 0.0030),0.9996 (± 0.0000),0.9364 (± 0.0060),0.9999 (± 0.0000),0.7466 (± 0.0048),0.9997 (± 0.0000)
iqr_creditcard-ctgan,True,False,ctgan,0.8357 (± 0.0016),0.8348 (± 0.0013),0.8969 (± 0.0024),0.9632 (± 0.0035),0.9996 (± 0.0000),0.8802 (± 0.0087),0.9998 (± 0.0000),0.7939 (± 0.0048),0.9997 (± 0.0000)
iqr_creditcard-smotified_gan,True,False,smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
